case_folding,tokenized_text
driver mitra lo belagu belagu ngorder yg terdekat pada gak mau pick up dpt driver jauh mulu order di ancol masa dpt driver yg di cileungsi trus dpt yg di keamanan paling dket pdahal yg sekitar ancol bnyk yg on,"['driver', 'mitra', 'lo', 'belagu', 'belagu', 'ngorder', 'yg', 'terdekat', 'pada', 'gak', 'mau', 'pick', 'up', 'dpt', 'driver', 'jauh', 'mulu', 'order', 'di', 'ancol', 'masa', 'dpt', 'driver', 'yg', 'di', 'cileungsi', 'trus', 'dpt', 'yg', 'di', 'keamanan', 'paling', 'dket', 'pdahal', 'yg', 'sekitar', 'ancol', 'bnyk', 'yg', 'on']"
sangat kecewa aplikasi yg sebaik ini ternyata masih kesulitan untuk melakukan top up maxim e wallet kaspro untuk developer mohon diperbaiki segala sistem yg berhubungan dengan pembayaran non tunai saya sudah top up tapi saldo belum masuk juga sudah jam menunggu kasih bintang satu ja terima kasih,"['sangat', 'kecewa', 'aplikasi', 'yg', 'sebaik', 'ini', 'ternyata', 'masih', 'kesulitan', 'untuk', 'melakukan', 'top', 'up', 'maxim', 'e', 'wallet', 'kaspro', 'untuk', 'developer', 'mohon', 'diperbaiki', 'segala', 'sistem', 'yg', 'berhubungan', 'dengan', 'pembayaran', 'non', 'tunai', 'saya', 'sudah', 'top', 'up', 'tapi', 'saldo', 'belum', 'masuk', 'juga', 'sudah', 'jam', 'menunggu', 'kasih', 'bintang', 'satu', 'ja', 'terima', 'kasih']"
demi apapun gaakan lagi gua pake maxim driver nya makin banyak yang gajelas,"['demi', 'apapun', 'gaakan', 'lagi', 'gua', 'pake', 'maxim', 'driver', 'nya', 'makin', 'banyak', 'yang', 'gajelas']"
susah dapet driver mobil di daerah jateng mobile di map banyak tapi pada ga mau ngambil kalo masalah harga padahal itu harga yg di tetapkan pihak maxim payah ga sepadan sama para kompetitor nya,"['susah', 'dapet', 'driver', 'mobil', 'di', 'daerah', 'jateng', 'mobile', 'di', 'map', 'banyak', 'tapi', 'pada', 'ga', 'mau', 'ngambil', 'kalo', 'masalah', 'harga', 'padahal', 'itu', 'harga', 'yg', 'di', 'tetapkan', 'pihak', 'maxim', 'payah', 'ga', 'sepadan', 'sama', 'para', 'kompetitor', 'nya']"
perjalanan yg saya pilih untuk sekali jalan tiba tagihannya kali lipat pas saya tanya driver katanya dari aplikasi padahal jelas saya sekali jalan masa aplikasi bisa berubah tiba bermasalah driver tetap minta tarif sesuai aplikasi yg jelas saya juga sesuai aplikasi dengan memilih sekali perjalanan jadi ongkos jadi apa yg terjadi,"['perjalanan', 'yg', 'saya', 'pilih', 'untuk', 'sekali', 'jalan', 'tiba', 'tagihannya', 'kali', 'lipat', 'pas', 'saya', 'tanya', 'driver', 'katanya', 'dari', 'aplikasi', 'padahal', 'jelas', 'saya', 'sekali', 'jalan', 'masa', 'aplikasi', 'bisa', 'berubah', 'tiba', 'bermasalah', 'driver', 'tetap', 'minta', 'tarif', 'sesuai', 'aplikasi', 'yg', 'jelas', 'saya', 'juga', 'sesuai', 'aplikasi', 'dengan', 'memilih', 'sekali', 'perjalanan', 'jadi', 'ongkos', 'jadi', 'apa', 'yg', 'terjadi']"
tolong lah kalau ngasih kendaraan itu jangan jauh,"['tolong', 'lah', 'kalau', 'ngasih', 'kendaraan', 'itu', 'jangan', 'jauh']"
capek banget tiap mau pakai maxim wallet selalu di batalkan sama sistem lemot banget asli,"['capek', 'banget', 'tiap', 'mau', 'pakai', 'maxim', 'wallet', 'selalu', 'di', 'batalkan', 'sama', 'sistem', 'lemot', 'banget', 'asli']"
ojek abal kebanyakan tipu,"['ojek', 'abal', 'kebanyakan', 'tipu']"
masa pesen makanan jarak ga nyampe km ongkos nya sampek k,"['masa', 'pesen', 'makanan', 'jarak', 'ga', 'nyampe', 'km', 'ongkos', 'nya', 'sampek', 'k']"
saya isi saldo di maxim wallet bukti transfer sudah ada tapi saldo nya gak masuk masuk mohon perbantuan nya,"['saya', 'isi', 'saldo', 'di', 'maxim', 'wallet', 'bukti', 'transfer', 'sudah', 'ada', 'tapi', 'saldo', 'nya', 'gak', 'masuk', 'masuk', 'mohon', 'perbantuan', 'nya']"
ga bisa login,"['ga', 'bisa', 'login']"
lama masuk top up nya,"['lama', 'masuk', 'top', 'up', 'nya']"
tarif dikasih kaga dikasih kembalian njir mana ga konfirmasi sama sekali pake fitur anter obat aja nunggunya jam yang seharusnya waktu tunggu paling lama tuh menit kacau dah mana map kaga update lagi pusing kalo mau make,"['tarif', 'dikasih', 'kaga', 'dikasih', 'kembalian', 'njir', 'mana', 'ga', 'konfirmasi', 'sama', 'sekali', 'pake', 'fitur', 'anter', 'obat', 'aja', 'nunggunya', 'jam', 'yang', 'seharusnya', 'waktu', 'tunggu', 'paling', 'lama', 'tuh', 'menit', 'kacau', 'dah', 'mana', 'map', 'kaga', 'update', 'lagi', 'pusing', 'kalo', 'mau', 'make']"
driver nya ya ampun kasar bgttitik gak sesuai malah ngomel gila gak tuh,"['driver', 'nya', 'ya', 'ampun', 'kasar', 'bgttitik', 'gak', 'sesuai', 'malah', 'ngomel', 'gila', 'gak', 'tuh']"
ini kenapa apk tidak bisa ya minta kode pake no telp tapi tidak di kirim kode otppadahal saya langanan maxim,"['ini', 'kenapa', 'apk', 'tidak', 'bisa', 'ya', 'minta', 'kode', 'pake', 'no', 'telp', 'tapi', 'tidak', 'di', 'kirim', 'kode', 'otppadahal', 'saya', 'langanan', 'maxim']"
pelayanan sangat memuaskan,"['pelayanan', 'sangat', 'memuaskan']"
penipuan dikasih saldo saldonya ga bisa dipake,"['penipuan', 'dikasih', 'saldo', 'saldonya', 'ga', 'bisa', 'dipake']"
saldonya ga bisa di pake huuuuuuu,"['saldonya', 'ga', 'bisa', 'di', 'pake', 'huuuuuuu']"
gabisa di pake saldonya,"['gabisa', 'di', 'pake', 'saldonya']"
pekerjanya terlalu memaksa untuk download pdhl ga niat sama sekali,"['pekerjanya', 'terlalu', 'memaksa', 'untuk', 'download', 'pdhl', 'ga', 'niat', 'sama', 'sekali']"
parah mesen udh jam lebih driver gk da yg datang dan sering nya di tolak driver,"['parah', 'mesen', 'udh', 'jam', 'lebih', 'driver', 'gk', 'da', 'yg', 'datang', 'dan', 'sering', 'nya', 'di', 'tolak', 'driver']"
driver tidak sopan nunggu suka lamaaa,"['driver', 'tidak', 'sopan', 'nunggu', 'suka', 'lamaaa']"
tolong pihak maxim ditindak lanjuti saya tertipu soal pembayaran delivery,"['tolong', 'pihak', 'maxim', 'ditindak', 'lanjuti', 'saya', 'tertipu', 'soal', 'pembayaran', 'delivery']"
daftarnya susah banget cuy kode otpnya gak dikirim kali percobaan udah gak bisa lagi buruk sangat,"['daftarnya', 'susah', 'banget', 'cuy', 'kode', 'otpnya', 'gak', 'dikirim', 'kali', 'percobaan', 'udah', 'gak', 'bisa', 'lagi', 'buruk', 'sangat']"
aku sudah top up kemarin tapi sampai besoknya tidak masuk dan saldo di rekeningku sudah terpotong,"['aku', 'sudah', 'top', 'up', 'kemarin', 'tapi', 'sampai', 'besoknya', 'tidak', 'masuk', 'dan', 'saldo', 'di', 'rekeningku', 'sudah', 'terpotong']"
minus bgt udh order malah di pilihin driver lain jera unistal,"['minus', 'bgt', 'udh', 'order', 'malah', 'di', 'pilihin', 'driver', 'lain', 'jera', 'unistal']"
gk dapat kode otp,"['gk', 'dapat', 'kode', 'otp']"
mau daftar aja susah minta kode kode masuk saat waktu sdh slesai x sya coba dan sperti itu lg dan coba ke panggilan tiba diangkat lgsung dimatiin aneh juga ni apk batas x minta kode dan gk bsa kode nya berakhir nomor sdh gk bsa dipakai lg buat kirim kode atau daftar,"['mau', 'daftar', 'aja', 'susah', 'minta', 'kode', 'kode', 'masuk', 'saat', 'waktu', 'sdh', 'slesai', 'x', 'sya', 'coba', 'dan', 'sperti', 'itu', 'lg', 'dan', 'coba', 'ke', 'panggilan', 'tiba', 'diangkat', 'lgsung', 'dimatiin', 'aneh', 'juga', 'ni', 'apk', 'batas', 'x', 'minta', 'kode', 'dan', 'gk', 'bsa', 'kode', 'nya', 'berakhir', 'nomor', 'sdh', 'gk', 'bsa', 'dipakai', 'lg', 'buat', 'kirim', 'kode', 'atau', 'daftar']"
aplikasi fenifu itu koin bukan dana yeuu skem skem,"['aplikasi', 'fenifu', 'itu', 'koin', 'bukan', 'dana', 'yeuu', 'skem', 'skem']"
tarif di aplikasi customer sama driver beda agak sulit bagi kami perjalanannya harus ada pelaporan dana driver suka nambahin tarif dengan alasan ngaret padahal ngaretnya karna naikin penumpang kalau driver ngaret tidak ada notif sama sekali suka ganti driver sendiri mana semuanya datang lagi padahal kita ga ada ganti driver,"['tarif', 'di', 'aplikasi', 'customer', 'sama', 'driver', 'beda', 'agak', 'sulit', 'bagi', 'kami', 'perjalanannya', 'harus', 'ada', 'pelaporan', 'dana', 'driver', 'suka', 'nambahin', 'tarif', 'dengan', 'alasan', 'ngaret', 'padahal', 'ngaretnya', 'karna', 'naikin', 'penumpang', 'kalau', 'driver', 'ngaret', 'tidak', 'ada', 'notif', 'sama', 'sekali', 'suka', 'ganti', 'driver', 'sendiri', 'mana', 'semuanya', 'datang', 'lagi', 'padahal', 'kita', 'ga', 'ada', 'ganti', 'driver']"
aplikasi aneh banget gue kalo mesen sering dikasi driver yg jauh banget buat jemput gue padahal gue order ke tempat yg deket aja kasian drivernya jauh pickup penumpang tapi argonya murah jelek lah pokonya ini aplikasi,"['aplikasi', 'aneh', 'banget', 'gue', 'kalo', 'mesen', 'sering', 'dikasi', 'driver', 'yg', 'jauh', 'banget', 'buat', 'jemput', 'gue', 'padahal', 'gue', 'order', 'ke', 'tempat', 'yg', 'deket', 'aja', 'kasian', 'drivernya', 'jauh', 'pickup', 'penumpang', 'tapi', 'argonya', 'murah', 'jelek', 'lah', 'pokonya', 'ini', 'aplikasi']"
kalo customer cancel dan minta ganti driver tolonglah di terima bukannya malah di kasih orang itu mulu,"['kalo', 'customer', 'cancel', 'dan', 'minta', 'ganti', 'driver', 'tolonglah', 'di', 'terima', 'bukannya', 'malah', 'di', 'kasih', 'orang', 'itu', 'mulu']"
k scammmmmmmmmmmmmmmmmm saldo gabisa di pake scam scam,"['k', 'scammmmmmmmmmmmmmmmmm', 'saldo', 'gabisa', 'di', 'pake', 'scam', 'scam']"
k scammmmmmmm,"['k', 'scammmmmmmm']"
login susah lebih dr x malah ga bisa aplikasi ga bagus log in aja dipersulit mendingan si ijo dr pda ini,"['login', 'susah', 'lebih', 'dr', 'x', 'malah', 'ga', 'bisa', 'aplikasi', 'ga', 'bagus', 'log', 'in', 'aja', 'dipersulit', 'mendingan', 'si', 'ijo', 'dr', 'pda', 'ini']"
dari driver maxim hanya yg baik yg lain nya driver sombong nolak nolak customer bukan sekali kali d tolak klo niat gk kerja gak usah online hanya karna jarak yg deket padahal urgent hanya karna ongkos yg murah padahal klo kasih ongkos selalu q lebihin bikin kecewa,"['dari', 'driver', 'maxim', 'hanya', 'yg', 'baik', 'yg', 'lain', 'nya', 'driver', 'sombong', 'nolak', 'nolak', 'customer', 'bukan', 'sekali', 'kali', 'd', 'tolak', 'klo', 'niat', 'gk', 'kerja', 'gak', 'usah', 'online', 'hanya', 'karna', 'jarak', 'yg', 'deket', 'padahal', 'urgent', 'hanya', 'karna', 'ongkos', 'yg', 'murah', 'padahal', 'klo', 'kasih', 'ongkos', 'selalu', 'q', 'lebihin', 'bikin', 'kecewa']"
tiap hari menerima driver baru banyak kalau saya yang jadi mentri perhubungan sudah saya sepak kau aplikasi kejam sadis tidak memikirkan nasib driver pendaftaran di buka teris sampai hari kiamat,"['tiap', 'hari', 'menerima', 'driver', 'baru', 'banyak', 'kalau', 'saya', 'yang', 'jadi', 'mentri', 'perhubungan', 'sudah', 'saya', 'sepak', 'kau', 'aplikasi', 'kejam', 'sadis', 'tidak', 'memikirkan', 'nasib', 'driver', 'pendaftaran', 'di', 'buka', 'teris', 'sampai', 'hari', 'kiamat']"
saya udah transfer kaspro ribu kenapa belum masuk woy tolong dong kembalikan uangnya apa perlu saya up ke medsos,"['saya', 'udah', 'transfer', 'kaspro', 'ribu', 'kenapa', 'belum', 'masuk', 'woy', 'tolong', 'dong', 'kembalikan', 'uangnya', 'apa', 'perlu', 'saya', 'up', 'ke', 'medsos']"
saya tidak bisa login dan kode otp tdk terkirim baik melalui sms memang ditlp tpi cs membisu tdk ksi kode otp sehingga sy tdk bisa login saya kirain tidak ada pulsa maka tdk dikrim kode otp umsk sms kode otp tahunya memang tidak bisa msk itu kode otp dan ditlp mlah tdk ada bicra apa itu cs maxim,"['saya', 'tidak', 'bisa', 'login', 'dan', 'kode', 'otp', 'tdk', 'terkirim', 'baik', 'melalui', 'sms', 'memang', 'ditlp', 'tpi', 'cs', 'membisu', 'tdk', 'ksi', 'kode', 'otp', 'sehingga', 'sy', 'tdk', 'bisa', 'login', 'saya', 'kirain', 'tidak', 'ada', 'pulsa', 'maka', 'tdk', 'dikrim', 'kode', 'otp', 'umsk', 'sms', 'kode', 'otp', 'tahunya', 'memang', 'tidak', 'bisa', 'msk', 'itu', 'kode', 'otp', 'dan', 'ditlp', 'mlah', 'tdk', 'ada', 'bicra', 'apa', 'itu', 'cs', 'maxim']"
agak kapoktakut buat pesan maxim lagi dapet pengalaman yang bawa motornya ugal ugalan parah dia ga mikir sama sekali kalo dia bawa nyawa penumpang dan bawa nama yaitu maxim gara gara satu org ini bisa jelek nama maxim udah laporin ke pihak maxim tapi belum ada tanggapan terima kasih untuk tidak pakai maxim lagi akan terus terkenang kejadian ini akan lebih baik lagi saya uninstal,"['agak', 'kapoktakut', 'buat', 'pesan', 'maxim', 'lagi', 'dapet', 'pengalaman', 'yang', 'bawa', 'motornya', 'ugal', 'ugalan', 'parah', 'dia', 'ga', 'mikir', 'sama', 'sekali', 'kalo', 'dia', 'bawa', 'nyawa', 'penumpang', 'dan', 'bawa', 'nama', 'yaitu', 'maxim', 'gara', 'gara', 'satu', 'org', 'ini', 'bisa', 'jelek', 'nama', 'maxim', 'udah', 'laporin', 'ke', 'pihak', 'maxim', 'tapi', 'belum', 'ada', 'tanggapan', 'terima', 'kasih', 'untuk', 'tidak', 'pakai', 'maxim', 'lagi', 'akan', 'terus', 'terkenang', 'kejadian', 'ini', 'akan', 'lebih', 'baik', 'lagi', 'saya', 'uninstal']"
tolong dong driver atas nama muhammad taufik hidayat suru tf balik uang saya dibawa kabur sm dia bukan masalah nominal tp kejujuran nya pakkkk dia blg mau tf balik tp wa saya di blokir sama dia tolongg dong pihakkkk maxim kondisikan drivernya hati sama plat nomornya b pne,"['tolong', 'dong', 'driver', 'atas', 'nama', 'muhammad', 'taufik', 'hidayat', 'suru', 'tf', 'balik', 'uang', 'saya', 'dibawa', 'kabur', 'sm', 'dia', 'bukan', 'masalah', 'nominal', 'tp', 'kejujuran', 'nya', 'pakkkk', 'dia', 'blg', 'mau', 'tf', 'balik', 'tp', 'wa', 'saya', 'di', 'blokir', 'sama', 'dia', 'tolongg', 'dong', 'pihakkkk', 'maxim', 'kondisikan', 'drivernya', 'hati', 'sama', 'plat', 'nomornya', 'b', 'pne']"
lambat,['lambat']
ap l k si t i k u kalo ber sai ng ya n se ht do n b b ny h k u d r in dn si p lka si b b,"['ap', 'l', 'k', 'si', 't', 'i', 'k', 'u', 'kalo', 'ber', 'sai', 'ng', 'ya', 'n', 'se', 'ht', 'do', 'n', 'b', 'b', 'ny', 'h', 'k', 'u', 'd', 'r', 'in', 'dn', 'si', 'p', 'lka', 'si', 'b', 'b']"
ajarin pengemudi lo dengan kata yang sopan,"['ajarin', 'pengemudi', 'lo', 'dengan', 'kata', 'yang', 'sopan']"
pindah ke indriver aja lah lebih enak,"['pindah', 'ke', 'indriver', 'aja', 'lah', 'lebih', 'enak']"
hoaxx dapet bonus tapi gabisa di pake hoaxxx,"['hoaxx', 'dapet', 'bonus', 'tapi', 'gabisa', 'di', 'pake', 'hoaxxx']"
scam penipu,"['scam', 'penipu']"
kalo gk bisa pake nomor minimal pake google geh,"['kalo', 'gk', 'bisa', 'pake', 'nomor', 'minimal', 'pake', 'google', 'geh']"
sangat mengecewakan driver banyak betingkah kalo gak mau narik baik di off kan aplikasi nya alasan lagi makan pecah ban bilang otw tapi di aplikasi tidak bergerak sangat kurang ajar itu bukan sekali dua kali aku sekalipun gak pernh kasih ongkos pass pasti lebih paraahhhh,"['sangat', 'mengecewakan', 'driver', 'banyak', 'betingkah', 'kalo', 'gak', 'mau', 'narik', 'baik', 'di', 'off', 'kan', 'aplikasi', 'nya', 'alasan', 'lagi', 'makan', 'pecah', 'ban', 'bilang', 'otw', 'tapi', 'di', 'aplikasi', 'tidak', 'bergerak', 'sangat', 'kurang', 'ajar', 'itu', 'bukan', 'sekali', 'dua', 'kali', 'aku', 'sekalipun', 'gak', 'pernh', 'kasih', 'ongkos', 'pass', 'pasti', 'lebih', 'paraahhhh']"
maxim memang bagus tapi ketika pesan disana misal tertulis menit sampai ditunggu sampai menit gak maju kendaraannya kesel saya sering begitu dan akhirnya nunggu lama lbih dari mnit ketikasudah dibatalkan malah datang,"['maxim', 'memang', 'bagus', 'tapi', 'ketika', 'pesan', 'disana', 'misal', 'tertulis', 'menit', 'sampai', 'ditunggu', 'sampai', 'menit', 'gak', 'maju', 'kendaraannya', 'kesel', 'saya', 'sering', 'begitu', 'dan', 'akhirnya', 'nunggu', 'lama', 'lbih', 'dari', 'mnit', 'ketikasudah', 'dibatalkan', 'malah', 'datang']"
peta tida muncul yg muncul cuma garis kotak,"['peta', 'tida', 'muncul', 'yg', 'muncul', 'cuma', 'garis', 'kotak']"
aneh saya jadi gak bisa loginaplikasi apa ini,"['aneh', 'saya', 'jadi', 'gak', 'bisa', 'loginaplikasi', 'apa', 'ini']"
maxim bodoh sumpah harga kok berubah rubah terus tolol emang ganggu aktifitas orang,"['maxim', 'bodoh', 'sumpah', 'harga', 'kok', 'berubah', 'rubah', 'terus', 'tolol', 'emang', 'ganggu', 'aktifitas', 'orang']"
sadar diri lah penumpang pesan car udah ac kasih nya uang pas kadang rb pas parah gk ngotak harganya,"['sadar', 'diri', 'lah', 'penumpang', 'pesan', 'car', 'udah', 'ac', 'kasih', 'nya', 'uang', 'pas', 'kadang', 'rb', 'pas', 'parah', 'gk', 'ngotak', 'harganya']"
tidak berguna alamat lokasi tidak lengkap susah buat nyari kantor nya ataupun perusahaan map nya juga suka ga keluar alias gelap pokonya ga banget deh iwww,"['tidak', 'berguna', 'alamat', 'lokasi', 'tidak', 'lengkap', 'susah', 'buat', 'nyari', 'kantor', 'nya', 'ataupun', 'perusahaan', 'map', 'nya', 'juga', 'suka', 'ga', 'keluar', 'alias', 'gelap', 'pokonya', 'ga', 'banget', 'deh', 'iwww']"
saya sbg penumpang kecewa sekali dgn taxi maxim yg katanya bisa byr lwt nontunai maxim wallet malah pengemudinya gatau cara tarik tunai dan ga terima kami bayar non tunai dikira kami yg nipu krn gamau ribut akhirnya sy bayar x boss tolong untung yg mau daftar maxim jd pengemudi di seleksi bener org yg kudet teknologi atau mmg aplikasi wallet maximnya yg susah buat tarik tunai mau complain disuruh dtg ke kantornya wah malah ribut ntr disana tidak menerima complain lwt sosmed katanya,"['saya', 'sbg', 'penumpang', 'kecewa', 'sekali', 'dgn', 'taxi', 'maxim', 'yg', 'katanya', 'bisa', 'byr', 'lwt', 'nontunai', 'maxim', 'wallet', 'malah', 'pengemudinya', 'gatau', 'cara', 'tarik', 'tunai', 'dan', 'ga', 'terima', 'kami', 'bayar', 'non', 'tunai', 'dikira', 'kami', 'yg', 'nipu', 'krn', 'gamau', 'ribut', 'akhirnya', 'sy', 'bayar', 'x', 'boss', 'tolong', 'untung', 'yg', 'mau', 'daftar', 'maxim', 'jd', 'pengemudi', 'di', 'seleksi', 'bener', 'org', 'yg', 'kudet', 'teknologi', 'atau', 'mmg', 'aplikasi', 'wallet', 'maximnya', 'yg', 'susah', 'buat', 'tarik', 'tunai', 'mau', 'complain', 'disuruh', 'dtg', 'ke', 'kantornya', 'wah', 'malah', 'ribut', 'ntr', 'disana', 'tidak', 'menerima', 'complain', 'lwt', 'sosmed', 'katanya']"
driver tidak sopanmemaki maki dengan kata kotorsangat menyesal menggunakan aplikasi ini,"['driver', 'tidak', 'sopanmemaki', 'maki', 'dengan', 'kata', 'kotorsangat', 'menyesal', 'menggunakan', 'aplikasi', 'ini']"
ngga jelas nih soal pembayaran diaplikasi coustomer sama di driver beda,"['ngga', 'jelas', 'nih', 'soal', 'pembayaran', 'diaplikasi', 'coustomer', 'sama', 'di', 'driver', 'beda']"
percuma ada promo promonya gak berlaku promo pas bayar dimintai nggak benar,"['percuma', 'ada', 'promo', 'promonya', 'gak', 'berlaku', 'promo', 'pas', 'bayar', 'dimintai', 'nggak', 'benar']"
saya customer yang turunin di pinggir jalan,"['saya', 'customer', 'yang', 'turunin', 'di', 'pinggir', 'jalan']"
sejajarkan harga bersaing yang sehat dooonk,"['sejajarkan', 'harga', 'bersaing', 'yang', 'sehat', 'dooonk']"
masuk kode nya lemot,"['masuk', 'kode', 'nya', 'lemot']"
bersaing harga lah secara sehat jangan merusak menjatuhkan harga lokal,"['bersaing', 'harga', 'lah', 'secara', 'sehat', 'jangan', 'merusak', 'menjatuhkan', 'harga', 'lokal']"
gak jelas nihil pengguna nya dikit ditipu terus mesen makanan malah abang nya minta transfer deluan aplikasi nya gak worth it,"['gak', 'jelas', 'nihil', 'pengguna', 'nya', 'dikit', 'ditipu', 'terus', 'mesen', 'makanan', 'malah', 'abang', 'nya', 'minta', 'transfer', 'deluan', 'aplikasi', 'nya', 'gak', 'worth', 'it']"
ribet gps nya ruwet ruwet gak kaya aplikasi lain ini mah ruwet super ruwet,"['ribet', 'gps', 'nya', 'ruwet', 'ruwet', 'gak', 'kaya', 'aplikasi', 'lain', 'ini', 'mah', 'ruwet', 'super', 'ruwet']"
ati ati yg naik dari stasiun pasar turi surabaya ke bungurasih harga gak sesuai argo di getok dari ke ribu dengan alsan bayar parkr mnding jangan,"['ati', 'ati', 'yg', 'naik', 'dari', 'stasiun', 'pasar', 'turi', 'surabaya', 'ke', 'bungurasih', 'harga', 'gak', 'sesuai', 'argo', 'di', 'getok', 'dari', 'ke', 'ribu', 'dengan', 'alsan', 'bayar', 'parkr', 'mnding', 'jangan']"
kok driver maxim sekarang banyak gak sopan ya dan seperti caloharus nya mikir dong coba bayangin kalo kami mulai memakai transportasi umum kembali pasti bakal sepi orderan kalian,"['kok', 'driver', 'maxim', 'sekarang', 'banyak', 'gak', 'sopan', 'ya', 'dan', 'seperti', 'caloharus', 'nya', 'mikir', 'dong', 'coba', 'bayangin', 'kalo', 'kami', 'mulai', 'memakai', 'transportasi', 'umum', 'kembali', 'pasti', 'bakal', 'sepi', 'orderan', 'kalian']"
