Ulasan,Prediksi Sentimen,Label Prediksi,Label Asli
maxim usut kemudi mobil degn plat bm yf minta ganti rugi besar k ibu sengaja menyengol mobil kerupuk kerupuk tinggal jejak minta ganti tau diri segera usut,0.0828714370727539,0.0,0.0
baik,0.9890573062002659,1.0,1.0
scam tipu,0.26439666748046875,0.0,0.0
good,0.9906724849715829,1.0,1.0
aman,0.9601816311478615,1.0,1.0
mantap,0.9869583463296294,1.0,1.0
tipu,0.43187087774276733,0.0,0.0
banyak oknum driver utama car ramah konsumen bahkan akhir kasus bungkus kerupuk ibu kena mobil maxim driver maxim minta ganti rb mobil nya senggol plastik kresek isi kerupuk sdh banyak yg lapor ig maxim tp blm d tanggap,0.5382156074047089,1.0,1.0
good,0.9906724849715829,1.0,1.0
sangatsangat buruk aplikasi mesan makan aja nyari driver nya lama banget padahal titik driver lah jauh titik jemput baik aplikasi mau perbaikin tutup aplikasi ini,0.2468174695968628,0.0,0.0
tipu smp ymik,0.44144612550735474,0.0,0.0
bagus karna tuju,0.9969148342497647,1.0,1.0
terima kasih antar tuju,0.9998000835767016,1.0,1.0
driver nyaman ramah baik,0.9999628437435604,1.0,1.0
mantap,0.9869583463296294,1.0,1.0
baik pak,0.999474861077033,1.0,1.0
layan mantap,0.9949238416738808,1.0,1.0
pesan mie gaco maxim nah situ total bayar rp sama ongkir nya rp pas nyampe kok jadi rp kata drivernya sama ongkir rp terus driver nya bilang aplikasi menu sama maxim beda sendiri sendiri kok aneh kan menu tu dalem aplikasi maximmasa ongkir x lipatcuma beli mie gaco doang loh rp gilaa,0.07281714677810669,0.0,0.0
jujur kecewa banget sih sama maxim pick up nya soal harga dinaikin driver suka nya sumpah tau gitu mending pilih pick up jalan kalau enggak gobox gojek nyesal,0.3743017911911011,0.0,1.0
respon cepat driver sopan ramah,0.9997572395513998,1.0,1.0
malah nunggu delay dulu mnt,0.25310105085372925,0.0,0.0
makasih,0.8885696604847908,1.0,1.0
bike delivery barang yg hilang selesai nya baik driver atau operator hati kalau pakai app driver malah blokir wa,0.2616153955459595,0.0,1.0
kemudi baik ramah,0.9999130255091586,1.0,1.0
oke,0.981120316311717,1.0,1.0
puas,0.9696573354303837,1.0,1.0
ramah asik,0.9988897256553173,1.0,1.0
good,0.9906724849715829,1.0,1.0
sangat puas,0.9938790872693062,1.0,1.0
layan ramah,0.9954088046215475,1.0,1.0
sgt baik,0.996958957053721,1.0,1.0
drivernya banyak suka lama,0.9085743799805641,1.0,1.0
sayang sekali ban maxim tahu sebab padahal kota maxim sepi ban arti customer,0.36419034004211426,0.0,1.0
tipu kode promo,0.5144858360290527,1.0,0.0
top up k muncul maxim wallet kok k nih kena potong apa tf lewat bank udah kena potong masa simpan uang sini kena potong info,0.12514978647232056,0.0,0.0
drive nya milih tarif ngak bagus buat pesan makan aku sulawesi privinsi gorontalo mohon prebaiki yah,0.9965894797351211,1.0,1.0
sangat bagus,0.9970667778979987,1.0,1.0
suka eror,0.6041463315486908,1.0,0.0
top up masuk aplikasi jelek driver sering maksa jelek banget,0.03073596954345703,0.0,0.0
aplikasij idiott susah mau login anj,0.08027154207229614,0.0,0.0
aplikasi transportasi bikin nge jatohin harga argo sesuai kilometer cousteumer bayar maxim mahal gilir maxim bayar drivernya murah banget gila udh gitu asuransi jiwasraya jadi nya celaka lalu lintas driver cousteumer nyamaxim usaha rusia ter tolol dunia,0.0477447509765625,0.0,0.0
ramah sabar,0.9986979026580229,1.0,1.0
mantap,0.9869583463296294,1.0,1.0
apk tipu buto,0.31646621227264404,0.0,0.0
mantap,0.9869583463296294,1.0,1.0
dong ongkir anter paket jgn cuma rp rb kaya gak punya hati terlalu sepele buat driver,0.8296865522861481,1.0,1.0
app jelek gofut nya gk batal app pandai eror,0.031228482723236084,0.0,0.0
bagus kerja nya,0.9984432067722082,1.0,1.0
baik layan nyari driver nya lama banget padahal dekat ga ambil ngartis mending make aplikasi belah,0.5567428767681122,1.0,1.0
saa kecewa isi saldo wallet banyak driver banyak menolakniat hati mau pakai tiap hari dikendari malah jadi saldo mati auto balik pake go jek,0.0580407977104187,0.0,0.0
terima kasih bantu,0.9999149806899368,1.0,1.0
peyanan yg prima sukses selalu,0.9411403723061085,1.0,1.0
mantap,0.9869583463296294,1.0,1.0
order delivery masuk apk nya kata koneksi buruk padahal jaring bagus kasi ojek nya bingung cari,0.20129793882369995,0.0,0.0
layan baik ramah,0.999898958929407,1.0,1.0
terimakasih hantar kakak,0.9956445628777146,1.0,1.0
mapsnya gak perbaikanpadahal keluh banyak masuk slow respon,0.0693473219871521,0.0,0.0
sangat baik,0.9979219604283571,1.0,1.0
tarif murah jadi malas lebih bagus aplikasi gojek,0.9254675135016441,1.0,1.0
lebih update milih driver bener rata temuin ga niat udah deket lokasi malah cancel bayar ga transfer,0.03449350595474243,0.0,0.0
driver avanza decepticon gak ngotak,0.11796033382415771,0.0,0.0
maxim ga banget sekarang kemaren pake maxim delivery instan lalu tulis note alamat lengkap n nomor telp terima bayar laku si terima lalu yg wa terima minta uang duluan tf alas buat beli bensin customer percaya krn maxim emng lama ga masalah tf lalu ovonya pas driver minta uang lagiternyata drtd chat wa bukan driver nya yg bingung tau tipu klo yg byr sipenerima apa kerjasama,0.15974825620651245,0.0,1.0
dah kli kena hp pas pesan bayar rb tpi pas hp bapak malah lebihhh gimna si aplikasi,0.2112802267074585,0.0,0.0
mikir cari duit bukan cansel pijit gak serius kunci udah hargain,0.04872536659240723,0.0,1.0
jelek banget sih layan pesan ojeg blm titik jemput pihak driver udh aktif driver udh smpai alhasil wkt tunggu jalan akhir kena biaya mahal sering banget kayagitu beda banget sm layan grabgojeg klo mau komplen tdk kolom keluh parah jelek banget,0.022717595100402832,0.0,0.0
driver oke,0.9892233144491911,1.0,1.0
semua driver rata kembali pagi saat warung buka mau nyari kasih solusi driver plat bg adg x dapet ga pernah kembali nuker mau apa mau usaha sama sekali,0.27443474531173706,0.0,1.0
gak asik orang maksa banget suruh buat download apk maxik mana focer nya cuma pake buat transportasi doang,0.7478048205375671,1.0,1.0
bagus,0.9842692036181688,1.0,1.0
mudah an depan kemudi ojol lebih tertib patuh rambu lalu lintas plat nomer pasang depan belakang,0.6482315957546234,1.0,1.0
driver minta cancek,0.5186545848846436,1.0,0.0
ramah baik,0.9998866523019387,1.0,1.0
tipu geta,0.4047943353652954,0.0,0.0
playanan baik,0.9969472796656191,1.0,1.0
selalu ganggu,0.38644272089004517,0.0,0.0
kemudi nya ramah bawa motor nyaman aman recomended banget abang drivernya semiga sehat selalu,0.9998378497111844,1.0,1.0
sangat bantu,0.9879697691649199,1.0,1.0
drivernya ramah sekali,0.998242074274458,1.0,1.0
driver mantap terima kasih,0.9999410929813166,1.0,1.0
mohon bantu kirim paket data jalan maxim hilang aplikasi barang barang sebut nilai lumayan besar,0.998480248497799,1.0,1.0
sangat ramah,0.9978517529089004,1.0,1.0
ngisi ewallet lewat mbanking saldo potong ewallet kaspro masuk ngga nomor cs yg jelas nyari google malah yg angkat bapak satpam,0.14060312509536743,0.0,0.0
aplikasi jelek map benar,0.23712080717086792,0.0,0.0
apk bagus mau top ap mbanking bca gimana cara,0.9981274855090305,1.0,1.0
bagus,0.9842692036181688,1.0,1.0
driver nya bnyak gaya kali broo kalo mau ongkos besar jgn bawak ojol bawak trevel jancokk ni mentang ongkos kecil nggk yg mau nerima order kasih ingat tuh driver yg kyk bgt admin,0.7229472398757935,1.0,1.0
pesan kode minta berkalikali tetap kirim malah not jumlah minta lampau,0.16958963871002197,0.0,0.0
lokasi knapa akurat beda kayak aflikasi grab sama gojek,0.31534743309020996,0.0,1.0
terpecaya,0.5638358891010284,1.0,1.0
bintang dlu lah driver nya sok jago gak suka sama aplikasi pake grab gojek aja lah,0.2548617720603943,0.0,1.0
buat langgan oknum aplikasi buat order fiktif aplikasi gue sumpahin seret rezeki lo ngentotttt,0.2762736678123474,0.0,1.0
sangat bagus,0.9970667778979987,1.0,1.0
layan sangat baik sopan cepat,0.9997861773008481,1.0,1.0
mitra maxim rasa kecewa sistem payah,0.09221333265304565,0.0,0.0
aplikasi gk jelas harga gk sesuai aplikasi driver selalu minta tambah karna harga emang gk sesuai,0.0661536455154419,0.0,1.0
baik ramah,0.9998861852800474,1.0,1.0
aplikasi aneh banget gue kalo mesen sering kasi driver yg jauh banget buat jemput gue padahal gue order tempat yg deket aja kasi drivernya jauh pickup tumpang argonya murah jelek lah poko aplikasi,0.06694918870925903,0.0,0.0
mantap mas,0.9991182262310758,1.0,1.0
bagus layan,0.9939215849153697,1.0,1.0
awal aja yg bagus makin lama mennggunakannya malah sulit bnget mendpat laksana tlong dong drivernya kasih tau bahkan smpai ulang kali adakan order tetap aja gk laksana,0.9899660823866725,1.0,1.0
mantap,0.9869583463296294,1.0,1.0
ramah,0.9885368775576353,1.0,1.0
baik,0.9890573062002659,1.0,1.0
sangat baik sopan,0.9995757162687369,1.0,1.0
oke,0.981120316311717,1.0,1.0
terimakasih,0.9425998106598854,1.0,1.0
order nya cepat lama menunggutarif jangkau,0.9243449345231056,1.0,1.0
semangat,0.8727194219827652,1.0,1.0
susah utk nyari alamat karna pakai nama jalan ribettt,0.05164754390716553,0.0,0.0
ga jelas bet mau cancel karna drivernya ga accept cancel order bukan karna salah pememsan aplikasi malah kena utang,0.021896839141845703,0.0,0.0
makasih udah tolongin bolak balik,0.9801232870668173,1.0,1.0
hancur tak pihak driver,0.47072428464889526,0.0,0.0
tipu,0.43187087774276733,0.0,0.0
tiba tiba eror layan coba apa apa apk tlol,0.07236993312835693,0.0,0.0
ga login sama ga kirim kirim kode verifikasi pagawainya malas,0.035714805126190186,0.0,0.0
sangat bantu,0.9879697691649199,1.0,1.0
baik bantu,0.9996965825848747,1.0,1.0
sangat baik ramah,0.9999323630690924,1.0,1.0
parahcacatdan jelek,0.2541378140449524,0.0,0.0
lokasi jemput antar susah map,0.18538421392440796,0.0,0.0
driver nya nolak rezeki udh order malah ti tolak,0.11733955144882202,0.0,0.0
top,0.8295735269784927,1.0,1.0
kalo ga niat bikin aplikasi tutup aja aplikasi error sampe dobel order disalahin langgan jelas gue udah naik mobil b order a salah alamat bisa a ttp jalan aplikasi,0.05024826526641846,0.0,0.0
ramah,0.9885368775576353,1.0,1.0
baru donlod gak jelas banget cara order bikin g enak sama drivernya gua aja d baik song cara order,0.9742137957364321,1.0,1.0
terimakasih atas layan tuju,0.9944437397643924,1.0,1.0
scam wkwkwk embel embel dateng seko kasih voucher diboongin cuma biar banyak download doang udah gitu titik gabisa atur sesuai,0.6393929123878479,1.0,1.0
titik jemput selalu eror liat histori order ga buka lah baik,0.846762403845787,1.0,0.0
mantap,0.9869583463296294,1.0,1.0
bagus layan,0.9939215849153697,1.0,1.0
kali kalau jadi ojek kalau mau sabar ndak usah jadi ojek malah ojek sesat jalan baru marah bilang nunggu daritadi depan malah nunggu depan rumah orang hadehhh mending pesan aplikasi,0.02536606788635254,0.0,0.0
sangat baik,0.9979219604283571,1.0,1.0
tanggung jawab respon lama padahal barang tinggal tdiak mau urus,0.7761236280202866,1.0,1.0
dana kaspro gak kembali parah ud x aplly masalah bayar balas selalu sama pret dah kapok pake kaspro stop dulu d pakai ni app padahal tiap hari pergi pulang kerja pake app ni,0.03536510467529297,0.0,0.0
bonus ribu nya punya aplikasi maxim tipu alias jebak gak guna langsung potong harga itu punya dana kaspro klo punya dana gak guna jadi ribut driver selisih harga aplikasi user driver sesal guna,0.033866047859191895,0.0,0.0
sangat bantu,0.9879697691649199,1.0,1.0
baikk,0.6446661055088043,1.0,1.0
selamat titik,0.8237948417663574,1.0,1.0
bagus fast respon,0.9995156401128042,1.0,1.0
situasi darurat mau order malah eror apk nya kontollll,0.07653552293777466,0.0,0.0
joss cepat aman,0.9985312124481425,1.0,1.0
good,0.9906724849715829,1.0,1.0
baru sekali mau pake maxim ngangkat org sakit mau rumah sakit supir ga mau depan rumah pdhal org sakit nya ga jalan suruh nunggu depan jauh dr rumah org sakit bopong depan eh supirnya kabur gitu aja berengsek sumpah ga mau lg pake maxim,0.19848591089248657,0.0,0.0
tarimo kasih banyak om,0.9967574302572757,1.0,1.0
mobil harum ramah orang,0.998715466237627,1.0,1.0
maxim ko bawa tumpang kalau costmernya banya mau duduk dimanaaa,0.7237074375152588,1.0,1.0
susah driver,0.20092451572418213,0.0,0.0
driver banyak sok nolak order utama drivel mobil kalo antar jemput dekat kalo delivery food kalo udah capai k banyak mintak batal alas gak bawa duitpntk lah driverny,0.03800433874130249,0.0,0.0
oke,0.981120316311717,1.0,1.0
sangat bagus,0.9970667778979987,1.0,1.0
kemudi baik,0.9965957994572818,1.0,1.0
aplikasi soe driver pilih layan dulu bagus makin kesini makin anjlok coba management maxim perhati driver yg suka suruh cancel langgan,0.8133955746889114,1.0,1.0
ramah,0.9885368775576353,1.0,1.0
sip bagus,0.9953592661768198,1.0,1.0
service luar bagus sekali manatap,0.9987512584775686,1.0,1.0
ganteng baik,0.9982615718618035,1.0,1.0
drever nya sangat ramah baik,0.9999263885838445,1.0,1.0
order lama banget driver terima cepat bodoh maxim bodoh stupid maxim totally stupid bad app uninstall auto,0.10290861129760742,0.0,0.0
ramah tepat waktu,0.9991425292100757,1.0,1.0
baik sekali,0.9960167235694826,1.0,1.0
barang kirim curi driver delivery ba lf yg akibat rugi rb sampe tindak ganti rugi maxim,0.05539172887802124,0.0,0.0
alhamdulillah baik,0.9980892185121775,1.0,1.0
maps nya gak buka gmna,0.07023370265960693,0.0,0.0
mantap,0.9869583463296294,1.0,1.0
peta gak akurat,0.10333049297332764,0.0,0.0
sekarang driver susah banget udah naik harga tpi tetap susah dpt driver,0.0321202278137207,0.0,0.0
aplikasi eror,0.26539403200149536,0.0,0.0
pelanyanan bagus,0.9930719234980643,1.0,1.0
maxim derever satu akun enak banget baik vermuk trus drever satu akun maxim doang,0.9930728948675096,1.0,1.0
gimana tadi isi maxim ewallet kaspro kok saldo rupiah aja uang kok ga masuk,0.08254915475845337,0.0,0.0
apk ga jelas ga danta aneh apk kocak masa iya ga batalin order food,0.03864389657974243,0.0,0.0
kirim barang gk aman gak tuju,0.6150884628295898,1.0,0.0
izin sampai keluh mitra driver maxim car mohon it maxim update rute jalan yg beri lewat mobil jangan ambil rute lewat motor mangkas jarak minimal argo banyak software referensi it lihat rute sebut lalu mobil terimakasih,0.7867261320352554,1.0,1.0
drivernya ramah,0.9970483782235533,1.0,1.0
sangat baik,0.9979219604283571,1.0,1.0
keren,0.9394704177975655,1.0,1.0
cepat aman,0.9971447084099054,1.0,1.0
ramah,0.9885368775576353,1.0,1.0
jalan sangat baik sekali,0.9993258069152944,1.0,1.0
entah knp rasa kecewa maka maxim,0.2168242335319519,0.0,0.0
sangat bantu layan lama padahal jarak mesan dekat sekali sangat kecewa sts,0.8102613538503647,1.0,0.0
mantap sangat bantu,0.9998569077870343,1.0,1.0
terimakasih atas layan nyaman,0.9995680960419122,1.0,1.0
baik,0.9890573062002659,1.0,1.0
baik tampil map mode satelit google,0.9975530062802136,1.0,1.0
good,0.9906724849715829,1.0,1.0
mantap,0.9869583463296294,1.0,1.0
gak guna titik driver maps nya ngaco langgan setia maxim mending sekarang alih ijo gogrb indriv lebih deket lebih akurat maps nya gak kaya si kuning bisa ngambang aja kali,0.08667963743209839,0.0,1.0
maxsim tema kasih bnyk dgn ad nya ad nya sangat bantu jg buat km cmn tlng agk d baik dgn js supir motor naxsim nya jgn suka tolak klo dgn ibu yg bw belanja dr pasar d krna kn sy mn pakai js maxsim maaf atas,0.9527790956199169,1.0,1.0
susah daftar,0.24849408864974976,0.0,0.0
titik jmputnya susah gk sama,0.055324673652648926,0.0,0.0
peta kacau cari alamat susah ongkos kok saldo walletnya potong,0.025669872760772705,0.0,0.0
kurir gerak cepat ramah sopan,0.9998083942919038,1.0,1.0
mantap,0.9869583463296294,1.0,1.0
yah baru daftar aplikasi ko tiba pesan sendiri yah kesi loh driver nya orang kerja kira order fiktif,0.5641411244869232,1.0,1.0
good,0.9906724849715829,1.0,1.0
oke,0.981120316311717,1.0,1.0
driver nya gak sopandan kata kasar emg beda aplikasi belah yg ad fitur bintang nya,0.08677220344543457,0.0,0.0
lambat pesan so mw jam blm terima order sdh lama pesan tdk terima,0.9000652208924294,1.0,1.0
sy selaku drivernya maxim asa kerja lebih cape nguli order sepi murah potong deposit besar yg cape siapa yg kaya siapa,0.9790095146745443,1.0,0.0
buat driver rungkadbuaat cs nyaman kaduuuj,0.9831536803394556,1.0,1.0
parah gak masuk mana mau kerja kalau baik kabar dulu napa tiba tiba gak masuk parah,0.03547590970993042,0.0,0.0
susah login,0.16849857568740845,0.0,0.0
mantap,0.9869583463296294,1.0,1.0
maxim cacat masa peta nya ga baca gimana mau tentuin lokasi nya,0.101817786693573,0.0,0.0
tiba aplikasi minta kode tdk kode yg masuk mau pesan maxim tdk,0.0524601936340332,0.0,0.0
susah cari kemudi mobil terima nominal harga sedikit terkadang tunggu hingga malam pesan terima,0.8568874150514603,1.0,1.0
sangat baik dn ramah,0.9999406649039884,1.0,1.0
semua driver nya milik uang kecil kembali driver ramah mau terima uang receh aduh overrated banget lah ni apk benci banget sama driver nya edukasi,0.6978858113288879,1.0,1.0
sangat baik sekali,0.9986133571946993,1.0,1.0
baik terimakasih,0.9996850462921429,1.0,1.0
tiba log out sendiri ga login hahahaha,0.07159250974655151,0.0,0.0
maxim sangat bingung jelek,0.1304338574409485,0.0,0.0
driver ramah baik terima kasih pak,0.9999787061005918,1.0,1.0
oke,0.981120316311717,1.0,1.0
sulit dapat kendara kalau rute pendek,0.12704050540924072,0.0,0.0
ramah baik sopan,0.9999532228030148,1.0,1.0
drivernya amanah ramah langgan suka,0.9998187675955705,1.0,1.0
payah waktu update lokasi gak sesuai,0.04220271110534668,0.0,0.0
susah cari driver,0.12716907262802124,0.0,0.0
buruk,0.3179672360420227,0.0,0.0
mantap,0.9869583463296294,1.0,1.0
keren,0.9394704177975655,1.0,1.0
drivernya baik,0.997150297742337,1.0,1.0
meng order makan sangat susah cancel,0.039345383644104004,0.0,0.0
nyaman,0.9497606717050076,1.0,1.0
layan maxim oke,0.9955722717568278,1.0,1.0
sihh sya gk msuk akun sayaa gk terima kode verifikasi makin aneh,0.07039177417755127,0.0,0.0
good,0.9906724849715829,1.0,1.0
siang maximmenurut bagus tarif jangkau bikin kurang nyaman kadang kadang apk nya maxim sering eror staf maxim baik sistem nya biar sering eror lebih nya buat maxim bagus maju terus maxim indonesia,0.9984486426692456,1.0,1.0
terimakasih banyak,0.9629461616277695,1.0,1.0
ramah,0.9885368775576353,1.0,1.0
supir ramah,0.9964069079142064,1.0,1.0
mantap,0.9869583463296294,1.0,1.0
baik,0.9890573062002659,1.0,1.0
sangat baik sopan mud sangat hati bawa penumpangnyasangat baik order penuh ade chandra putra motorcycle warna hitam nopol ddxy terima kasih atas jalan rating,0.9998954688853701,1.0,1.0
aplikasi bodoh,0.3079758882522583,0.0,0.0
delivery donat ulang tahunmalah hancung tulis ucap hilang,0.6447088122367859,1.0,0.0
supir nya ramah bawa sangat hati hati,0.9995150665636174,1.0,1.0
kesel banget sama rider maxim tdigk jdi pergi jarak gak jauh tp bayar mahl,0.05633574724197388,0.0,0.0
baik akhlak drivernya masa kena senggol krupuk ganti rugi main,0.9472621791064739,1.0,1.0
akhir akhir tdk buka apknya pas buka kata no data maksud,0.054001033306121826,0.0,0.0
baik ramah,0.9998861852800474,1.0,1.0
okeee mantaappp,0.5937558710575104,1.0,1.0
tiap order mobil selalu lama padahal tarif nya udh up tp drivernya milih order kaya ga butuh duit parah,0.28922075033187866,0.0,0.0
sumpah gak sup banget drivernya,0.12330710887908936,0.0,0.0
layar buruk buka ac mobil hrs cas mending hapus,0.056000709533691406,0.0,0.0
bagus,0.9842692036181688,1.0,1.0
layan baik,0.9955610162578523,1.0,1.0
gak jelas nihil guna nya dikit tipu terus mesen makan malah abang nya minta transfer delu aplikasi nya gak worth it,0.029334664344787598,0.0,0.0
sangat senang nyaman lebih sabar kalau bawa mobil soal tau d kota memang semua orang rata keras kepala baru tdk sabar bawa kendara apa lg kalau tengah jalan besar ntah siapa yg lebih lama makassar apa yg jelas cm saran sedikit d makassar bas tahun lama dr wajo kota sengkang jl a macca amirullah adek sepupu pak arbit yg tugas polres,0.996711109066382,1.0,1.0
sangat manfaat sekali,0.9562450498342514,1.0,1.0
baik mud,0.9961117224302143,1.0,1.0
mantap,0.9869583463296294,1.0,1.0
goof,0.5638358891010284,1.0,1.0
mantap,0.9869583463296294,1.0,1.0
lumayan jauh lebih murah tarif sayang map nya rada oon apk belah yg bas gmap gedungalamat maxim ga jadi susah nentuin titik jemput tuju please fix it,0.4902355670928955,0.0,1.0
susah dapet driver mobil daerah jateng mobile map banyak ga mau ngambil kalo masalah harga padahal harga yg tetap pihak maxim payah ga padan sama kompetitor nya,0.06282883882522583,0.0,0.0
titik tuju terus salah,0.15354079008102417,0.0,0.0
baik hti sombong,0.991148286499083,1.0,0.0
baik,0.9890573062002659,1.0,1.0
mobil sangat tdk nyaman kotorbau rokok mohon baik,0.9997785523592029,1.0,1.0
orang nya ramah,0.9987296462059021,1.0,1.0
driver sangat ramah,0.9981081982841715,1.0,1.0
murah meriahsering guna maxim car dpt promo potong tp pas byr driver gak terima krn rekening potong ktnya jd sama aja bohong mending gak usah kasih promo potongankasian klo yg ud nyiapin ongkos pas sesuai aplikasi tp tetep tagih driver kurang,0.3528795838356018,0.0,0.0
drivernya baik,0.997150297742337,1.0,1.0
baik,0.9890573062002659,1.0,1.0
good,0.9906724849715829,1.0,1.0
aplikasi bosok ga driver segitu banyak satu tempat gada yg acc posisi mau nganterin ibu igd driver nya gada yg acc hampir tengah jam lebih,0.2973337173461914,0.0,1.0
baik,0.9890573062002659,1.0,1.0
baik,0.9890573062002659,1.0,1.0
tukang maxim ny marah,0.3857377767562866,0.0,0.0
layan good job kalau bintang buat ramah abang,0.9999302279757103,1.0,1.0
bintang soal ny gabisa d daftarin,0.45500802993774414,0.0,0.0
god job,0.910822905600071,1.0,1.0
bagus bantu,0.9995951371674892,1.0,1.0
mantap layan,0.9952859482727945,1.0,1.0
pesan bike delivery hari pukul agus peritahuan berkas tuju lihat data driver yg barusan aplikasi taik berkas penting hilang driver pemberitahuan apa padahal ongkos lebih memang aplikasi taik,0.1651674509048462,0.0,0.0
terimakasih sangat baik,0.9998641679412685,1.0,1.0
batal padahal driver temu,0.20490634441375732,0.0,0.0
mles pake maxim kebanyakn dapet driver cabul semua,0.2397415041923523,0.0,0.0
