processed_text,vader_sentiment
"['aplikasi', 'aneh', 'banget', 'gue', 'kalo', 'mesen', 'sering', 'kasi', 'driver', 'yg', 'jauh', 'banget', 'buat', 'jemput', 'gue', 'padahal', 'gue', 'order', 'tempat', 'yg', 'deket', 'aja', 'kasi', 'drivernya', 'jauh', 'pickup', 'tumpang', 'argonya', 'murah', 'jelek', 'lah', 'poko', 'aplikasi']",negatif
"['kalo', 'customer', 'cancel', 'minta', 'ganti', 'driver', 'tolong', 'terima', 'bukan', 'malah', 'kasih', 'orang', 'mulu']",negatif
"['k', 'scammmmmmmmmmmmmmmmmm', 'saldo', 'gabisa', 'pake', 'scam', 'scam']",positif
"['login', 'susah', 'lebih', 'dr', 'x', 'malah', 'ga', 'aplikasi', 'ga', 'bagus', 'log', 'in', 'aja', 'sulit', 'mending', 'si', 'ijo', 'dr', 'pda']",negatif
"['driver', 'maxim', 'yg', 'baik', 'yg', 'nya', 'driver', 'sombong', 'nolak', 'nolak', 'customer', 'bukan', 'sekali', 'kali', 'd', 'tolak', 'klo', 'niat', 'gk', 'kerja', 'gak', 'usah', 'online', 'karna', 'jarak', 'yg', 'deket', 'padahal', 'urgent', 'karna', 'ongkos', 'yg', 'murah', 'padahal', 'klo', 'kasih', 'ongkos', 'selalu', 'q', 'lebihin', 'bikin', 'kecewa']",negatif
"['tiap', 'hari', 'terima', 'driver', 'baru', 'banyak', 'kalau', 'jadi', 'tri', 'hubung', 'sepak', 'kau', 'aplikasi', 'kejam', 'sadis', 'pikir', 'nasib', 'driver', 'daftar', 'buka', 'ter', 'hari', 'kiamat']",negatif
"['login', 'kode', 'otp', 'tdk', 'kirim', 'baik', 'lalu', 'sms', 'memang', 'ditlp', 'tpi', 'cs', 'bisu', 'tdk', 'ksi', 'kode', 'otp', 'sy', 'tdk', 'login', 'kirain', 'pulsa', 'tdk', 'krim', 'kode', 'otp', 'umsk', 'sms', 'kode', 'otp', 'tahu', 'memang', 'msk', 'kode', 'otp', 'ditlp', 'mlah', 'tdk', 'bicra', 'apa', 'cs', 'maxim']",negatif
"['kapoktakut', 'buat', 'pesan', 'maxim', 'dapet', 'alam', 'bawa', 'motor', 'ugal', 'ugalan', 'parah', 'ga', 'mikir', 'sama', 'sekali', 'kalo', 'bawa', 'nyawa', 'tumpang', 'bawa', 'nama', 'maxim', 'gara', 'gara', 'satu', 'org', 'jelek', 'nama', 'maxim', 'udah', 'laporin', 'pihak', 'maxim', 'tanggap', 'terima', 'kasih', 'pakai', 'maxim', 'terus', 'kenang', 'jadi', 'lebih', 'baik', 'uninstal']",positif
"['dong', 'driver', 'atas', 'nama', 'muhammad', 'taufik', 'hidayat', 'suru', 'tf', 'balik', 'uang', 'bawa', 'kabur', 'sm', 'bukan', 'masalah', 'nominal', 'tp', 'jujur', 'nya', 'pakkkk', 'blg', 'mau', 'tf', 'balik', 'tp', 'wa', 'blokir', 'sama', 'tolongg', 'dong', 'pihakkkk', 'maxim', 'kondisi', 'drivernya', 'hati', 'sama', 'plat', 'nomor', 'b', 'pne']",positif
"['pindah', 'indriver', 'aja', 'lah', 'lebih', 'enak']",positif
"['hoaxx', 'dapet', 'bonus', 'gabisa', 'pake', 'hoaxxx']",positif
"['scam', 'tipu']",negatif
"['kalo', 'gk', 'pake', 'nomor', 'minimal', 'pake', 'google', 'geh']",negatif
"['sangat', 'kecewa', 'driver', 'banyak', 'beting', 'kalo', 'gak', 'mau', 'narik', 'baik', 'off', 'kan', 'aplikasi', 'nya', 'alas', 'makan', 'pecah', 'ban', 'bilang', 'otw', 'aplikasi', 'gerak', 'sangat', 'kurang', 'ajar', 'bukan', 'sekali', 'kali', 'aku', 'sekalipun', 'gak', 'pernh', 'kasih', 'ongkos', 'pass', 'lebih', 'paraahhhh']",negatif
"['maxim', 'memang', 'bagus', 'pesan', 'sana', 'misal', 'tulis', 'menit', 'tunggu', 'menit', 'gak', 'maju', 'kendara', 'kesel', 'sering', 'akhir', 'nunggu', 'lama', 'lbih', 'mnit', 'ketikasudah', 'batal', 'malah', 'datang']",negatif
"['peta', 'tida', 'muncul', 'yg', 'muncul', 'cuma', 'garis', 'kotak']",negatif
"['aneh', 'jadi', 'gak', 'loginaplikasi', 'apa']",negatif
"['maxim', 'bodoh', 'sumpah', 'harga', 'kok', 'ubah', 'rubah', 'terus', 'tolol', 'emang', 'ganggu', 'aktifitas', 'orang']",negatif
"['sadar', 'diri', 'lah', 'tumpang', 'pesan', 'car', 'udah', 'ac', 'kasih', 'nya', 'uang', 'pas', 'kadang', 'rb', 'pas', 'parah', 'gk', 'ngotak', 'harga']",positif
"['guna', 'alamat', 'lokasi', 'lengkap', 'susah', 'buat', 'nyari', 'kantor', 'nya', 'atau', 'usaha', 'map', 'nya', 'suka', 'ga', 'keluar', 'alias', 'gelap', 'poko', 'ga', 'banget', 'deh', 'iwww']",negatif
"['sbg', 'tumpang', 'kecewa', 'sekali', 'dgn', 'taxi', 'maxim', 'yg', 'kata', 'byr', 'lwt', 'nontunai', 'maxim', 'wallet', 'malah', 'mud', 'gatau', 'cara', 'tarik', 'tunai', 'ga', 'terima', 'bayar', 'non', 'tunai', 'kira', 'yg', 'nipu', 'krn', 'gamau', 'ribut', 'akhir', 'sy', 'bayar', 'x', 'boss', 'untung', 'yg', 'mau', 'daftar', 'maxim', 'jd', 'kemudi', 'seleksi', 'bener', 'org', 'yg', 'kudet', 'teknologi', 'mmg', 'aplikasi', 'wallet', 'maximnya', 'yg', 'susah', 'buat', 'tarik', 'tunai', 'mau', 'complain', 'suruh', 'dtg', 'kantor', 'wah', 'malah', 'ribut', 'ntr', 'sana', 'terima', 'complain', 'lwt', 'sosmed', 'kata']",negatif
"['driver', 'sopanmemaki', 'maki', 'kata', 'kotorsangat', 'sesal', 'guna', 'aplikasi']",negatif
"['percuma', 'promo', 'promonya', 'gak', 'laku', 'promo', 'pas', 'bayar', 'minta', 'benar']",negatif
"['sejajar', 'harga', 'saing', 'sehat', 'dooonk']",positif
"['saing', 'harga', 'lah', 'sehat', 'jangan', 'rusak', 'jatuh', 'harga', 'lokal']",positif
"['gak', 'jelas', 'nihil', 'guna', 'nya', 'dikit', 'tipu', 'terus', 'mesen', 'makan', 'malah', 'abang', 'nya', 'minta', 'transfer', 'delu', 'aplikasi', 'nya', 'gak', 'worth', 'it']",negatif
"['ribet', 'gps', 'nya', 'ruwet', 'ruwet', 'gak', 'kaya', 'aplikasi', 'mah', 'ruwet', 'super', 'ruwet']",positif
"['ati', 'ati', 'yg', 'naik', 'stasiun', 'pasar', 'turi', 'surabaya', 'bungurasih', 'harga', 'gak', 'sesuai', 'argo', 'getok', 'ribu', 'alsan', 'bayar', 'parkr', 'mnding', 'jangan']",negatif
"['kok', 'driver', 'maxim', 'sekarang', 'banyak', 'gak', 'sopan', 'caloharus', 'nya', 'mikir', 'dong', 'coba', 'bayangin', 'kalo', 'mulai', 'pakai', 'transportasi', 'umum', 'bakal', 'sepi', 'order', 'kalian']",negatif
"['susah', 'banget', 'nyari', 'alamat', 'nya']",negatif
"['layan', 'si', 'lumayan', 'cept', 'jg', 'respon', 'nya', 'tp', 'saldo', 'vocer', 'yg', 'kasi', 'sama', 'sekali', 'gak', 'pake', 'pdhl', 'saldo', 'terptong']",negatif
"['top', 'up', 'rb', 'masuk']",positif
['hoax'],negatif
"['map', 'kotak', 'kotak', 'doang', 'kocak']",positif
"['niat', 'hati', 'igin', 'coba', 'pake', 'jasa', 'maxim', 'tp', 'cukup', 'sekali', 'pakai', 'maxim', 'harga', 'tera', 'aplikasi', 'sesuai', 'bayar', 'driver', 'nya', 'driver', 'nya', 'minta', 'tambah', 'bayar', 'karna', 'jarak', 'driver', 'jemput', 'terlalu', 'jauh', 'kata', 'nya', 'lurus', 'dulu', 'sistem', 'nya', 'maxim', 'sama', 'driver', 'nya', 'boleh', 'langgan', 'mnta', 'tambah', 'biaya', 'ac', 'nyala', 'malah', 'suruh', 'buka', 'jendela', 'sangat', 'sangat', 'nyaman', 'gak', 'tau', 'apa', 'emang', 'standar', 'nya']",positif
"['aplikasi', 'terlalu', 'bebas', 'batas', 'jadi', 'banyak', 'driver', 'atribut', 'salah', 'guna', 'profesi', 'driver', 'tindak', 'jahat', 'aman', 'standard', 'nya', 'maxim', 'jadi', 'segi', 'aman', 'kurang']",positif
"['aneh', 'naik', 'maxim', 'harga', 'awal', 'rb', 'pas', 'tengah', 'jalan', 'tiba', 'naik', 'jadi', 'rb', 'tahu', 'hadiah', 'bintang', 'aja', 'deh', 'buat', 'maxim']",positif
"['apk', 'tolol']",negatif
"['bingung', 'banget', 'pertama', 'x', 'naik', 'maxim', 'orderin', 'lewat', 'hp', 'sodara', 'order', 'maxim', 'dgn', 'jarak', 'km', 'detail', 'harga', 'aplikasi', 'tumpang', 'lokasi', 'kemudi', 'bilang', 'harga', 'rb', 'tera', 'd', 'aplikasi']",negatif
"['minimal', 'driver', 'jangan', 'tolol', 'ngertilah', 'pakai', 'gps']",positif
"['aplikasi', 'punya', 'fitur', 'chat', 'cs', 'keluh', 'langgan', 'chat', 'online']",negatif
"['titik', 'ga', 'cari', 'mau', 'masuk', 'kode', 'otp']",negatif
"['kecewa', 'banget', 'gak', 'daftar', 'akun', 'hapuuus']",negatif
"['terima', 'kasih', 'sdh', 'antar', 'tempat', 'tuju']",positif
"['aplikasi', 'transportasi', 'bikin', 'nge', 'jatohin', 'harga', 'argo', 'sesuai', 'kilometer', 'cousteumer', 'bayar', 'maxim', 'mahal', 'gilir', 'maxim', 'bayar', 'drivernya', 'murah', 'banget', 'gila', 'udh', 'gitu', 'asuransi', 'jiwasraya', 'jadi', 'nya', 'celaka', 'lalu', 'lintas', 'driver', 'cousteumer', 'nyamaxim', 'usaha', 'rusia', 'ter', 'tolol', 'dunia']",negatif
"['kode', 'otp', 'lama', 'banget', 'masuk', 'nya', 'kecewa', 'berat']",negatif
"['kecewa', 'sayasaya', 'tunggu', 'jemput', 'driver', 'malah', 'bayar', 'nunggu', 'hampir', 'satu', 'jam', 'malh', 'nak', 'biaya', 'mending', 'klo', 'minta', 'tunggu', 'jemput', 'blom', 'malah', 'suruh', 'bayar', 'langgan', 'kasih', 'kopetitas', 'soal', 'tunggu', 'driver', 'hampir', 'satu', 'jam']",negatif
"['udah', 'nunggu', 'lama', 'malah', 'cancel', 'hadehh']",negatif
"['memuaskanlama', 'orderandan', 'gak', 'batalin', 'pilih', 'nya', 'mana', 'cuman', 'ubah', 'order', 'order', 'makan']",negatif
"['awal', 'dri', 'kastamer', 'nyoba', 'ikut', 'jdi', 'driver', 'simak', 'cakap', 'umum', 'area', 'bal', 'driver', 'nya', 'nyata', 'saling', 'makan', 'teman', 'sendiri', 'alias', 'ras', 'hina', 'sama', 'driver', 'maxim', 'sama', 'driver', 'kalian', 'laku', 'kastamer', 'tinggal', 'maxim', 'sendiri', 'lebih', 'baik', 'sama', 'pakai', 'jasa', 'aplikasi', 'klo', 'laku', 'driver', 'bal', 'sangat', 'minus', 'kalau', 'developer', 'percaya', 'silah', 'masuk', 'cakap', 'umum', 'area', 'balilihat', 'sendiri', 'etika', 'mes', 'drivernya']",positif
"['delivery', 'buat', 'auto', 'aja', 'min', 'kalo', 'udah', 'buat', 'auto', 'tak', 'ganti', 'b', 'biar', 'cepet', 'dapet', 'order', 'delivery', 'express', 'mu', 'gak', 'guna']",negatif
"['aplikasi', 'scam', 'promosiin', 'mulu', 'saldo', 'gratis', 'tp', 'gapernah', 'pakai']",negatif
"['saldo', 'gak', 'masuk', 'aplikasi', 'gak', 'jelas', 'jelek', 'emang', 'paling', 'gampang', 'gojek', 'grab', 'baik']",positif
"['pas', 'isi', 'e', 'wallet', 'maxim', 'tf', 'nya', 'udah', 'hasil', 'gk', 'masuk', 'mau', 'coba', 'hubung', 'maxim', 'apk', 'gk', 'respon', 'sekarang', 'kecewa', 'sih', 'jadi', 'no', 'recomend', 'buat', 'pembayarantop', 'up', 'e', 'wallet', 'maxim', 'gagal', 'terus', 'uang', 'nya', 'gk', 'tau', 'deh', 'aneh']",negatif
"['aplikasi', 'bagus', 'jangan', 'bekerjasama', 'kaspro']",positif
"['pertama', 'isi', 'saldo', 'maxim', 'wallet', 'lama', 'bgt', 'masuk', 'nya', 'hari', 'hari', 'abis', 'kirim', 'nya', 'ga', 'sesuai', 'saldo', 'nya', 'pas', 'top', 'up', 'top', 'up', 'masuk', 'sama', 'sekali', 'saldo', 'nya', 'sangat', 'muas']",positif
"['aplikasi', 'jelek', 'mending', 'si', 'ijo', 'belah']",negatif
"['susah', 'login']",negatif
"['top', 'up', 'lama', 'masuk', 'ngisi', 'alamat', 'nama', 'jalan', 'susah']",negatif
"['maps', 'nya', 'ga', 'jelas', 'cape', 'nyari', 'nyari', 'alamat', 'ga', 'ketemu', 'ktemu']",negatif
"['mohon', 'bantu', 'kirim', 'kode', 'otp', 'nya', 'nomor', 'telepon', 'sukses', 'selalu', 'utk', 'maxim', 'tks']",positif
"['hancur', 'tak', 'pihak', 'driver']",negatif
"['mau', 'masuk', 'maxim', 'gk', 'kode', 'padahal', 'nomor', 'benarrgak', 'aplikasi']",positif
"['alam', 'pesan', 'maxim', 'bbrpa', 'kali', 'karna', 'harga', 'lebih', 'murah', 'dr', 'apk', 'ojol', 'tp', 'layan', 'driver', 'sangat', 'sangat', 'burukk', 'sopanntdk', 'pesan', 'maxim', 'lebih', 'baik', 'bayar', 'mahal', 'kualitas', 'bagus']",positif
"['gimana', 'sih', 'mau', 'log', 'in', 'susah', 'bangett', 'nomer', 'kode', 'nya', 'ga', 'kirim', 'kirim', 'kalo', 'udah', 'butut', 'tutup', 'aja', 'apk', 'nya']",negatif
"['masuk', 'utk', 'kassprokasswalletnya', 'sgr', 'baik', 'lgsosialisasikan', 'lg', 'ttg', 'kasspro', 'kemudi', 'krn', 'bnyk', 'kemudi', 'yg', 'tdk', 'paham', 'dg', 'kassprokasswallethny', 'krn', 'kemudi', 'tdk', 'paham', 'kasspro', 'jd', 'kecewa', 'guna', 'trm', 'ksh']",negatif
"['peta', 'anehgak', 'lihat', 'posisi', 'orang', 'mesan']",negatif
"['kecewa', 'saldo', 'sedot', 'banyak', 'bayar', 'ewallet', 'maxim', 'kaspro', 'akhir', 'laku', 'pembayarab', 'double', 'cash', 'saldo', 'sedot', 'ewallet', 'kaspro']",negatif
"['vertikasi', 'nelpon', 'sms', 'susah', 'gak', 'keluar', 'apa', 'coba']",negatif
"['aplikasi', 'tolol', 'order', 'makan', 'ga', 'batal', 'anjing', 'maksimal', 'aplikasi', 'dulu', 'baru', 'terbit', 'layan', 'publik']",negatif
"['order', 'penuh', 'elizaman', 'natalis', 'gea', 'daihatsu', 'sigra', 'warna', 'putih', 'nopol', 'bkaes', 'terima', 'kasih', 'atas', 'jalan', 'rating']",positif
"['wilayah', 'bal', 'minta', 'maxim', 'terima', 'driver', 'kasih', 'training', 'dulu', 'banyak', 'driver', 'maxim', 'car', 'yg', 'bal', 'kemudi', 'nya', 'bahaya', 'kalau', 'bicara', 'attitude']",positif
"['bagus', 'aplikasi', 'maxim', 'nya']",positif
"['apk', 'gak', 'smart']",positif
"['ribet', 'aplikasi', 'kota', 'medan', 'udah', 'nunggu', 'driver', 'udah', 'dekat', 'tiba', 'hilang', 'muncul', 'driver', 'gitu', 'gak', 'pasti', 'tunggu', 'titik', 'jemput', 'sesuai', 'yg', 'pilih', 'ribet', 'pokok']",negatif
['jelek'],negatif
"['jangan', 'pake', 'maxim', 'drivernya', 'arogan', 'preman', 'semua']",negatif
"['orang', 'kasi', 'kode', 'promo', 'rb', 'pas', 'pakai', 'malah', 'tetap', 'bayar', 'mana', 'rb', 'sempat', 'orang', 'punya', 'uang', 'gmna', 'coba', 'minimal', 'g', 'usah', 'kasi', 'promo', 'kalo', 'pakai']",negatif
"['driver', 'milih', 'harga', 'lah', 'tindak', 'lanjut', 'driver', 'nya', 'kalau', 'gak', 'cocok', 'sama', 'kerja', 'nya', 'gak', 'usa', 'jadi', 'driver', 'kekgini', 'kan', 'malah', 'yg', 'susah', 'biasa', 'nya', 'gampang', 'driver', 'malah', 'x', 'blkngan', 'susah', 'driver', 'padahal', 'driver', 'dekat', 'banyak', 'gak', 'mau', 'ambil', 'order', 'nya']",negatif
"['baik', 'sikap', 'sifat', 'drivernya', 'khusus', 'kota', 'medan', 'istri', 'pesan', 'jco', 'malah', 'minta', 'nomor', 'wa', 'tiba', 'gak', 'kasih', 'nomor', 'wa', 'malah', 'suruh', 'batal', 'pesan']",positif
"['gimananini', 'sms', 'otp', 'gak', 'masuk', 'masuk']",negatif
"['baru', 'driver', 'kirim', 'paket', 'total', 'bayar', 'ribu', 'minta', 'rb', 'bagaimana', 'yah']",positif
"['driver', 'mobil', 'maxim', 'nakal', 'skrng', 'order', 'dri', 'pikstasiun', 'kota', 'orang', 'masuk', 'mobil', 'bilang', 'banyak', 'maximal', 'orang', 'minta', 'ongkos', 'lebih', 'pilih', 'jalan', 'yg', 'buruk', 'bilang', 'mlh', 'masuk', 'tol', 'bayar', 'k', 'yg', 'akhir', 'bengkak', 'tarif', 'yg', 'tadi', 'k', 'jadi', 'k', 'gin', 'driver', 'maxim', 'sekarang']",negatif
"['apk', 'goblokkk', 'kok', 'nya', 'akun', 'blokir', 'gara', 'data', 'dokumen', 'sama', 'driverorang', 'kan', 'logis', 'tiap', 'driver', 'aja', 'data', 'nya', 'beda', 'lah', 'malah', 'bilang', 'sama', 'data', 'sm', 'driver', 'pantes', 'aja', 'ni', 'apk', 'ga', 'laku', 'orangorang', 'kantor', 'nya', 'aja', 'tolol', 'begini']",negatif
"['aplikasi', 'scam', 'kasih', 'saldo', 'gratis', 'staff', 'maxim', 'pergi', 'sekolah', 'malah', 'gak', 'dipake', 'soal', 'bayar', 'nontunai', 'coming', 'soon', 'kata', 'saldo', 'hangus', 'bulan', 'nyata', 'cuma', 'minggu', 'bagi', 'food', 'banyak', 'udah', 'sold', 'out', 'padahal', 'pas', 'liat', 'platform', 'maxim', 'stock', 'pokok', 'kecewa', 'banget', 'sama', 'staff', 'aplikasi']",negatif
"['aplikasi', 'scam', 'kasih', 'saldo', 'gratis', 'staff', 'maxim', 'pergi', 'sekolah', 'malah', 'gak', 'dipake', 'soal', 'bayar', 'nontunai', 'coming', 'soon', 'kata', 'saldo', 'hangus', 'bulan', 'nyata', 'cuma', 'minggu', 'bagi', 'food', 'banyak', 'udah', 'sold', 'out', 'padahal', 'pas', 'liat', 'platform', 'maxim', 'stock', 'pokok', 'kecewa', 'banget', 'sama', 'staff', 'aplikasi', 'kalo', 'nge', 'scam', 'begini', 'mending', 'hapus', 'aja', 'play', 'store']",negatif
"['kemudi', 'tipu', 'harga', 'order', 'beri', 'bintang', 'paksa']",negatif
"['driver', 'online', 'banyak', 'gak', 'atributmotor', 'gak', 'sesuai', 'aplikasi', 'woi', 'min', 'seleksi', 'tu', 'driver', 'loojol', 'kayak', 'opang']",positif
"['kasih', 'bintang', 'dulu', 'yaa', 'pengisiian', 'maxim', 'wallet', 'kaspronya', 'lambat', 'masuk', 'padahal', 'cek', 'aplikasi', 'kaspro', 'dana', 'pas', 'buka', 'aplikasi', 'maxim', 'malah', 'blm', 'bikin', 'jengkel', 'ngepasin', 'ga', 'cash', 'malah', 'jadi', 'cash', 'bayar', 'baik', 'dong', 'sistem', 'masa', 'top', 'up', 'saldo', 'lama', 'banget', 'masuk']",positif
"['jelas', 'pesan', 'makan', 'malah', 'd', 'tunjukkin', 'd', 'kost', 'sy', 'mau', 'batalin', 'bsa', 'cma', 'ganti', 'driver', 'aja', 'capeee']",positif
"['tolol', 'dajal', 'respon', 'ibu', 'ibu', 'minta', 'rb', 'dajjal', 'masa', 'cuma', 'senggol', 'dikit', 'sampek', 'minta', 'segitu', 'ngk', 'ngotak', 'babi', 'pajero', 'aja', 'sampek', 'penyok', 'cuma', 'abis', 'tolol']",negatif
"['masuk', 'isi', 'ewalet', 'susah', 'ribet']",negatif
"['pihak', 'maximsy', 'cs', 'kasih', 'masukantolong', 'donk', 'bayar', 'bs', 'lalu', 'danaovogopaynontunaiyg', 'guna', 'ny', 'banyak', 'pakaigk', 'semua', 'cs', 'pegang', 'uang', 'kes', 'yatolong', 'sampai', 'kpd', 'atas', 'ny']",positif
"['mau', 'masuk', 'notifikasi', 'masuk', 'angka', 'cek', 'masuk', 'notifikasi', 'empat', 'angka']",positif
"['driver', 'nya', 'bagus']",positif
"['maksim', 'nya', 'bawa', 'motor', 'ga', 'ngotak', 'sya', 'hampir', 'jatuh', 'trs', 'minta', 'tambah', 'ongkos']",negatif
"['mau', 'tanya', 'mau', 'login', 'maxim', 'kode', 'otp', 'nya', 'gak', 'keluar']",negatif
